tabela,coluna,tipo,posicao
fat_weblic_pedido_aquisicao,dat_carga,string,1
fat_weblic_pedido_aquisicao,cod_pedido,int,2
fat_weblic_pedido_aquisicao,cod_requisicao,int,3
fat_weblic_pedido_aquisicao,num_pedido,string,4
fat_weblic_pedido_aquisicao,num_pedido_sgpe,string,5
fat_weblic_pedido_aquisicao,sta_pedido,string,6
fat_weblic_pedido_aquisicao,cod_orgao_promotor,int,7
fat_weblic_pedido_aquisicao,sgl_orgao_promotor,string,8
fat_weblic_pedido_aquisicao,nom_orgao_promotor,string,9
fat_weblic_pedido_aquisicao,cod_unidade_compra_promotora,int,10
fat_weblic_pedido_aquisicao,sgl_unidade_compra_promotora,string,11
fat_weblic_pedido_aquisicao,nom_unidade_compra_promotora,string,12
fat_weblic_pedido_aquisicao,cod_orgao_requisitante,int,13
fat_weblic_pedido_aquisicao,sgl_orgao_requisitante,string,14
fat_weblic_pedido_aquisicao,nom_orgao_requisitante,string,15
fat_weblic_pedido_aquisicao,cod_unidade_compra_requisitante,int,16
fat_weblic_pedido_aquisicao,sgl_unidade_compra_requisitante,string,17
fat_weblic_pedido_aquisicao,nom_unidade_compra_requisitante,string,18
fat_weblic_pedido_aquisicao,cod_setor_requisitante,int,19
fat_weblic_pedido_aquisicao,nom_setor_requisitante,string,20
fat_weblic_pedido_aquisicao,nom_pedido_endereco_execucao,string,21
fat_weblic_pedido_aquisicao,cod_unidade_compra_sigef,int,22
fat_weblic_pedido_aquisicao,cod_unidade_orcamentaria_sigef,int,23
fat_weblic_pedido_aquisicao,dat_pedido_cadastro,string,24
fat_weblic_pedido_aquisicao,nom_pedido_usuario_cadastro,string,25
fat_weblic_pedido_aquisicao,num_pedido_usuario_cadastro_cpf,string,26
fat_weblic_pedido_aquisicao_item,dat_carga,string,1
fat_weblic_pedido_aquisicao_item,cod_item_pedido,int,2
fat_weblic_pedido_aquisicao_item,cod_pedido,int,3
fat_weblic_pedido_aquisicao_item,num_item_pedido,int,4
fat_weblic_pedido_aquisicao_item,sta_item_pedido_estimado,boolean,5
fat_weblic_pedido_aquisicao_item,sta_item_pedido_nao_acumulativo,boolean,6
fat_weblic_pedido_aquisicao_item,val_item_pedido_referencia,string,7
fat_weblic_pedido_aquisicao_item,qtd_item_pedido,string,8
fat_weblic_pedido_aquisicao_item,cod_produto,bigint,9
fat_weblic_pedido_aquisicao_item,tpo_produto,string,10
fat_weblic_pedido_aquisicao_item,cod_produto_grupo,string,11
fat_weblic_pedido_aquisicao_item,dsc_produto_grupo,string,12
fat_weblic_pedido_aquisicao_item,cod_produto_classe,string,13
fat_weblic_pedido_aquisicao_item,dsc_produto_classe,string,14
fat_weblic_pedido_aquisicao_item,dsc_produto_unidade_medida,string,15
fat_weblic_pedido_aquisicao_item,dsc_produto,string,16
fat_weblic_pedido_aquisicao_item,dsc_produto_complemento,string,17
fat_weblic_pedido_aquisicao_item,dat_item_pedido_cadastro,string,18
fat_weblic_pedido_aquisicao_item,nom_item_pedido_usuario_cadastro,string,19
fat_weblic_pedido_aquisicao_item,num_item_pedido_usuario_cadastro_cpf,string,20
fat_weblic_planejamento_compras,dat_carga,string,1
fat_weblic_planejamento_compras,num_planejamento,string,2
fat_weblic_planejamento_compras,num_planejamento_ano,int,3
fat_weblic_planejamento_compras,dat_planejamento_cadastro,string,4
